region,crop,year,rainfall_mm,avg_temperature_c,humidity_pct,soil_ph,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,irrigation_pct_area,fertilizer_kg_ha,farm_area_ha,yield_tonnes_per_ha
West,Sugarcane,2020,559.5,20.4,83.3,6.62,96.8,22.9,10.0,20.4,159.3,2.96,44.65
East,Soybean,2018,729.0,22.4,63.4,6.78,98.4,38.6,120.3,13.2,244.6,21.26,2.07
South,Sugarcane,2023,897.7,22.7,39.7,6.84,125.8,46.3,163.4,49.2,228.8,7.46,54.68
East,Wheat,2011,915.2,20.7,42.0,7.21,106.5,62.9,114.0,56.5,196.7,2.04,2.42
North,Cotton,2023,1381.6,20.2,85.1,6.71,134.6,40.3,157.4,30.4,116.9,0.5,0.93
North,Rice,2024,920.3,22.9,50.7,6.68,118.2,26.3,225.9,22.0,157.8,10.29,2.64
West,Rice,2018,1194.7,24.8,45.9,6.55,127.0,41.9,207.0,8.1,116.9,9.54,2.42
Central,Sugarcane,2012,791.2,22.4,82.2,6.39,95.4,36.5,182.4,2.6,249.6,2.08,49.78
East,Cotton,2013,822.1,29.8,75.2,5.77,126.8,53.3,147.4,10.6,85.5,3.24,0.94
Central,Cotton,2010,567.7,26.5,79.1,6.45,158.7,39.9,130.2,74.2,275.7,18.27,1.55
West,Wheat,2023,714.4,16.0,45.7,6.69,100.1,5.0,180.3,34.4,257.3,1.37,2.06
North,Sugarcane,2010,1031.7,26.6,37.1,6.82,152.0,100.4,151.0,2.7,124.9,14.44,46.39
Central,Sugarcane,2010,901.9,27.0,62.0,6.64,118.2,47.1,152.4,50.8,155.0,1.48,45.0
Central,Maize,2018,1135.7,21.8,65.0,6.31,145.7,46.3,88.0,53.6,137.3,5.26,3.84
North,Sugarcane,2020,945.3,16.5,65.5,6.45,124.5,21.9,121.4,42.9,205.8,5.53,51.49
East,Rice,2017,811.9,24.0,82.2,6.06,118.8,23.0,180.1,11.1,264.7,5.11,3.25
North,Wheat,2014,1437.1,24.0,34.0,6.75,132.2,43.6,106.0,75.5,251.1,2.72,2.3
Central,Cotton,2014,876.5,18.4,72.9,6.32,162.5,50.0,160.6,68.9,154.0,2.34,1.4
East,Sugarcane,2018,1190.8,16.7,43.6,6.64,128.3,55.5,166.5,39.5,255.3,10.57,48.4
East,Wheat,2012,799.7,23.6,72.8,7.3,136.7,48.6,168.8,38.1,250.3,2.58,2.01
North,Sugarcane,2012,1077.4,22.8,52.9,5.93,107.1,27.2,172.4,15.6,168.7,7.53,42.36
Central,Cotton,2016,1132.0,21.9,47.8,6.98,175.0,7.4,175.1,75.4,179.4,15.0,1.33
West,Soybean,2018,952.1,23.6,50.9,6.53,142.4,43.5,125.0,60.0,272.5,14.51,2.22
Central,Cotton,2015,311.4,18.5,38.3,8.12,122.7,37.0,91.3,8.6,243.5,1.46,0.95
South,Cotton,2023,904.6,21.8,60.6,6.33,115.7,26.1,115.1,37.8,253.5,8.51,1.45
West,Cotton,2011,1207.6,26.7,48.4,7.06,154.2,57.4,179.2,90.4,335.1,7.38,1.66
East,Sugarcane,2010,1031.9,22.3,71.8,6.51,98.8,21.4,102.0,45.2,212.8,2.65,55.63
West,Maize,2011,1011.5,15.6,69.6,5.39,57.6,54.3,108.4,32.5,199.5,3.97,3.62
East,Cotton,2023,469.4,21.6,85.3,6.08,122.5,23.8,108.2,64.4,261.5,2.69,1.47
East,Rice,2023,719.9,18.6,65.5,7.2,161.7,47.0,76.2,20.3,299.3,6.16,2.96
West,Rice,2010,1002.8,25.3,67.8,6.15,175.7,59.0,104.1,52.4,143.3,13.02,3.45
East,Wheat,2019,1002.6,25.6,81.0,4.72,116.2,39.9,190.0,67.0,167.9,16.8,2.19
East,Maize,2019,1203.7,15.7,50.6,6.47,121.5,70.3,121.3,85.5,118.9,10.26,3.67
South,Wheat,2018,863.8,27.8,37.7,5.63,138.2,73.8,80.0,69.3,200.6,5.28,2.35
Central,Rice,2024,1001.5,18.4,63.0,6.61,110.7,48.6,129.5,38.4,233.4,25.38,2.51
Central,Rice,2019,904.1,31.8,38.7,7.74,138.1,53.1,170.4,76.8,123.1,6.64,2.24
South,Soybean,2024,653.3,23.8,96.8,7.12,117.0,60.9,76.8,89.8,248.0,5.21,2.05
West,Cotton,2021,336.1,17.8,81.8,7.73,155.4,53.2,188.1,47.8,152.8,15.55,0.9
North,Rice,2023,1007.8,18.3,92.5,6.05,145.3,51.6,92.4,0.5,147.9,1.63,2.54
North,Sugarcane,2022,943.5,25.7,60.9,6.39,148.4,37.1,134.2,88.1,247.8,1.37,61.47
North,Sugarcane,2017,745.5,22.0,68.3,5.66,112.8,19.7,133.7,16.5,142.5,12.21,35.06
South,Wheat,2024,495.2,23.5,53.1,5.95,187.4,24.1,127.5,12.6,95.8,16.36,1.52
South,Wheat,2016,1057.4,32.1,73.2,5.76,136.9,80.7,147.4,30.8,224.6,0.6,1.94
East,Cotton,2024,833.5,20.5,41.8,5.45,128.7,49.8,181.1,38.0,172.1,11.55,1.29
North,Cotton,2012,1039.2,24.3,21.9,7.59,93.4,41.3,148.4,79.9,251.9,4.42,1.33
West,Soybean,2017,1366.0,31.1,48.1,4.83,116.6,63.9,125.8,38.9,230.0,9.73,1.32
West,Maize,2011,364.6,25.4,38.2,7.6,124.0,33.8,168.3,4.9,75.1,1.16,2.49
North,Wheat,2011,725.1,16.0,82.2,7.5,92.4,53.7,158.3,63.6,258.9,28.9,1.84
North,Cotton,2020,847.7,26.5,87.2,6.9,109.8,46.2,123.2,67.1,294.0,17.05,1.45
North,Wheat,2019,1263.7,18.2,39.0,5.61,114.2,51.9,151.7,81.4,242.0,4.17,2.38
South,Cotton,2012,490.9,31.0,79.4,5.23,122.0,40.0,119.9,39.9,244.4,17.91,0.97
South,Rice,2016,1384.0,19.9,74.3,6.06,58.3,30.5,115.4,8.6,165.1,18.02,2.7
South,Wheat,2010,934.0,38.8,36.5,7.0,115.3,32.7,182.2,55.3,151.4,4.95,1.57
Central,Rice,2017,876.0,31.3,54.1,6.5,106.8,33.2,167.9,12.1,192.7,23.48,2.65
West,Wheat,2021,850.5,20.0,51.3,5.67,119.3,45.0,180.8,1.7,235.2,30.13,2.06
West,Maize,2016,790.9,24.1,71.2,7.42,156.2,21.7,175.4,77.9,233.7,1.96,4.28
East,Soybean,2013,1162.0,27.8,41.6,7.85,191.8,26.3,114.5,40.3,153.7,0.55,1.39
South,Sugarcane,2023,632.9,27.9,58.5,6.32,143.7,47.0,190.1,52.5,147.7,3.22,40.51
Central,Sugarcane,2024,986.4,26.2,49.7,6.59,76.8,43.1,138.1,66.3,90.6,5.37,50.31
Central,Sugarcane,2014,804.0,30.3,67.1,5.29,107.9,47.9,187.2,40.1,218.8,0.78,39.56
West,Rice,2019,709.5,23.4,56.7,6.17,140.9,44.3,145.0,5.1,156.6,1.21,2.39
South,Cotton,2022,1546.5,22.2,52.0,6.91,136.9,82.8,162.5,25.3,161.9,28.52,1.25
East,Sugarcane,2010,1004.8,22.3,56.8,6.78,154.6,46.9,163.7,19.4,283.7,10.69,55.88
South,Maize,2013,1053.3,28.3,90.5,6.09,116.6,39.3,182.5,97.7,215.9,16.63,4.77
North,Sugarcane,2024,1184.4,25.8,53.7,6.28,107.3,46.5,84.6,74.0,199.4,28.37,55.12
South,Wheat,2010,544.7,25.5,44.4,6.14,181.3,60.3,86.9,45.2,229.8,3.8,2.25
North,Rice,2010,1338.1,28.0,68.8,6.28,122.1,44.3,176.9,6.3,265.2,9.31,2.64
North,Wheat,2019,272.8,13.7,57.8,6.84,84.4,55.3,164.3,11.6,83.0,1.63,1.35
East,Wheat,2010,707.8,25.6,38.8,4.93,171.6,50.9,119.0,81.3,146.1,6.42,1.81
West,Wheat,2016,785.2,25.1,93.5,6.44,67.6,40.6,164.6,94.5,166.1,1.88,2.66
South,Soybean,2016,1045.4,32.3,54.7,6.78,10.0,46.7,93.7,3.1,121.3,1.4,1.52
North,Soybean,2013,954.7,16.4,54.3,6.04,146.9,69.0,280.6,91.0,164.1,0.83,2.02
South,Cotton,2024,858.3,31.8,62.4,6.12,151.9,48.6,202.5,38.1,86.9,6.93,0.94
West,Rice,2022,897.0,24.4,86.0,6.14,134.5,30.2,174.9,21.4,235.3,23.94,3.36
West,Maize,2021,655.5,26.4,34.8,6.12,74.4,40.2,153.0,10.2,148.9,1.04,3.55
Central,Maize,2011,525.7,32.4,64.1,6.5,117.9,13.3,125.3,77.2,192.1,5.58,3.51
West,Maize,2021,1081.6,26.8,91.3,6.6,110.3,47.1,97.6,46.9,183.1,9.29,4.51
East,Wheat,2012,1073.4,26.0,61.9,4.82,101.2,64.7,145.4,83.2,213.4,5.48,2.3
North,Soybean,2017,1296.1,25.2,41.5,7.02,169.4,24.9,115.6,22.6,32.3,19.42,1.48
Central,Rice,2022,702.5,21.6,50.7,6.27,83.4,47.2,117.9,67.9,207.0,1.46,3.18
East,Wheat,2017,1073.2,23.9,63.1,8.05,131.1,59.8,93.3,11.8,163.5,0.5,1.96
South,Soybean,2020,829.1,20.4,80.0,5.55,161.8,61.4,160.0,9.0,204.4,3.86,1.58
North,Soybean,2020,1197.6,23.8,54.9,5.81,133.4,64.2,134.9,13.3,109.2,6.49,1.52
West,Sugarcane,2015,1155.5,12.3,72.4,6.34,163.4,17.0,171.4,80.9,204.8,2.35,43.9
North,Sugarcane,2024,952.8,26.1,38.5,6.83,139.7,52.6,168.3,65.6,257.9,1.48,60.49
South,Rice,2019,815.1,23.4,38.3,4.94,135.0,22.4,159.2,16.6,191.4,13.07,2.56
Central,Rice,2018,1140.2,22.3,52.8,5.84,132.8,30.0,256.4,38.5,137.0,1.67,2.88
Central,Rice,2020,1061.7,25.1,81.6,6.97,141.5,57.3,182.9,76.4,139.6,4.68,3.3
Central,Wheat,2021,728.9,16.8,61.0,5.74,106.5,47.4,99.6,28.6,214.6,24.72,1.95
West,Cotton,2018,568.1,33.6,64.3,7.6,74.4,55.9,168.3,92.1,214.2,7.59,1.22
East,Rice,2013,827.9,23.5,64.2,6.14,153.4,31.1,147.8,91.5,201.4,5.51,3.29
East,Sugarcane,2021,1278.9,23.3,76.6,5.78,160.7,67.1,96.3,55.3,177.7,3.57,43.39
North,Cotton,2010,1186.6,19.2,50.8,6.99,128.8,55.3,93.1,63.2,192.2,5.88,1.32
West,Wheat,2010,621.9,24.1,70.3,7.79,100.8,58.3,168.1,65.3,176.1,10.6,2.1
Central,Cotton,2024,608.1,30.9,47.5,6.83,65.5,28.8,177.9,25.8,157.1,13.83,0.99
Central,Maize,2021,1218.7,29.2,89.7,7.51,123.0,62.6,108.1,36.5,225.4,8.4,3.53
South,Cotton,2019,616.1,28.3,48.0,7.84,72.8,40.3,188.8,13.6,198.6,12.5,0.96
South,Rice,2024,1027.3,26.7,46.8,5.76,67.9,35.8,161.4,92.5,257.4,0.74,3.47
Central,Wheat,2014,746.0,22.2,68.2,7.25,119.3,54.4,197.8,72.4,247.0,0.5,2.62
Central,Rice,2023,1304.3,16.7,61.2,5.28,93.3,53.7,193.6,4.6,196.6,10.61,2.1
West,Sugarcane,2022,707.4,23.0,64.9,6.84,132.1,32.3,143.7,54.9,215.7,2.43,51.64
East,Maize,2011,1185.8,22.8,63.4,6.44,114.4,75.8,215.4,34.3,122.6,16.81,3.41
South,Sugarcane,2024,946.2,29.2,43.6,7.49,98.8,72.2,105.0,81.5,175.3,6.14,48.44
East,Rice,2015,963.0,25.5,84.2,7.44,60.3,54.1,245.6,34.4,200.6,5.21,2.78
West,Rice,2016,407.4,32.1,73.4,6.96,90.1,51.5,114.8,64.4,85.0,11.86,1.91
Central,Rice,2010,349.3,30.0,80.4,6.74,91.4,49.9,148.1,16.6,205.8,10.81,2.34
East,Soybean,2015,844.9,21.7,52.1,6.91,77.1,21.8,127.3,55.9,122.4,9.75,1.84
Central,Maize,2017,961.7,15.0,66.2,6.55,108.5,46.7,134.9,29.4,129.0,9.37,3.47
Central,Rice,2021,618.7,30.9,63.0,6.45,79.8,46.5,266.9,16.5,148.2,5.8,2.19
North,Rice,2014,627.8,30.8,76.9,7.65,114.3,36.4,131.5,61.9,178.2,20.88,2.2
East,Sugarcane,2023,1040.4,17.2,77.4,7.75,128.4,40.4,184.0,63.9,100.3,17.7,37.51
East,Sugarcane,2021,1040.7,31.5,62.9,6.39,91.1,9.3,140.6,98.3,231.4,3.2,56.07
Central,Rice,2016,865.6,25.9,37.2,6.69,134.9,28.5,187.5,66.9,190.6,13.07,2.98
West,Wheat,2019,1095.1,24.8,86.7,6.57,72.4,58.8,128.2,51.6,295.5,17.74,2.81
North,Soybean,2015,606.4,32.1,68.3,5.21,81.1,71.0,160.2,91.3,198.0,7.7,1.55
Central,Sugarcane,2013,811.0,30.7,50.9,6.23,116.0,30.8,175.1,82.8,214.2,6.49,48.42
South,Wheat,2024,1312.0,27.3,66.1,7.78,144.0,47.7,121.1,54.9,128.8,8.92,1.83
South,Soybean,2024,917.1,26.4,37.3,5.9,150.4,61.5,260.3,51.1,109.1,1.42,1.37
North,Rice,2016,931.6,27.1,75.8,8.19,176.4,37.2,177.2,94.2,217.1,0.73,2.72
West,Maize,2019,1476.5,22.0,37.9,7.44,106.8,55.1,141.0,61.7,114.4,13.73,3.33
Central,Cotton,2018,550.2,23.7,56.7,6.82,115.5,44.5,122.1,71.4,218.5,6.81,1.28
East,Cotton,2019,1099.1,19.5,63.7,6.95,83.9,62.9,153.7,8.7,282.4,1.05,1.42
North,Rice,2019,1316.0,22.3,75.6,5.77,76.1,25.8,101.4,71.8,236.7,4.31,2.69
West,Sugarcane,2022,818.8,22.2,61.6,6.29,128.0,28.4,221.3,26.5,214.2,2.83,42.98
East,Wheat,2016,1114.9,20.8,69.5,7.65,92.8,49.2,167.3,11.6,196.2,16.67,2.09
South,Maize,2021,654.5,24.7,59.6,6.01,163.1,46.4,146.5,85.0,157.0,5.66,3.9
South,Soybean,2023,728.3,22.4,59.5,7.35,68.8,44.2,191.8,69.1,173.1,6.89,1.73
East,Rice,2014,996.2,26.5,61.3,5.4,137.0,53.6,121.1,40.8,146.1,2.15,2.81
North,Maize,2016,1099.6,15.9,57.2,5.54,84.8,31.0,103.8,43.1,101.1,12.84,2.96
South,Maize,2012,1180.2,23.4,34.7,8.02,91.3,24.5,144.8,19.7,182.1,21.29,3.18
Central,Sugarcane,2011,1292.4,24.7,48.5,6.49,138.9,37.5,155.1,1.0,246.5,12.58,46.19
East,Soybean,2020,883.1,22.4,63.7,6.07,96.3,39.2,171.2,34.9,102.7,5.43,1.58
East,Maize,2024,1198.4,23.1,56.3,7.59,101.9,40.7,90.9,14.8,263.9,14.42,4.02
South,Sugarcane,2014,814.4,16.1,57.7,7.5,91.6,64.0,131.7,42.2,253.0,1.67,41.41
North,Wheat,2013,1125.5,25.8,55.1,7.24,182.5,56.6,26.7,83.4,203.8,0.96,2.71
Central,Sugarcane,2014,951.9,27.2,47.0,6.04,98.4,53.0,102.7,11.5,204.3,4.61,35.73
North,Wheat,2017,1011.4,26.5,52.6,6.27,121.8,48.3,178.6,9.2,168.8,1.6,2.48
West,Wheat,2021,1005.9,29.2,55.4,6.75,112.9,38.5,188.4,90.2,182.5,2.4,2.63
West,Maize,2013,498.8,25.0,60.1,7.06,127.7,32.2,104.3,74.5,152.2,7.04,3.53
South,Sugarcane,2024,619.0,26.4,65.9,6.09,98.5,27.0,137.0,5.3,181.9,4.14,36.51
South,Wheat,2018,925.6,24.8,57.3,6.64,113.0,34.6,151.0,8.0,188.4,16.07,2.09
South,Soybean,2016,478.2,27.4,44.6,6.71,133.8,44.4,193.1,68.5,292.9,2.05,2.1
West,Maize,2019,1107.8,16.1,39.0,7.53,89.8,27.7,211.2,37.0,213.9,45.93,3.54
North,Sugarcane,2022,1117.9,19.5,99.0,7.1,158.1,47.5,156.1,72.4,167.4,3.56,46.97
North,Sugarcane,2021,981.8,31.9,43.1,5.29,161.5,42.1,139.6,40.4,174.1,5.8,39.09
South,Cotton,2016,619.7,11.7,52.2,6.33,141.2,39.0,92.3,96.8,137.2,1.14,1.12
Central,Sugarcane,2024,1245.0,23.3,67.8,5.76,122.4,62.4,154.3,69.4,147.1,6.93,42.67
North,Maize,2022,1409.3,29.9,65.4,6.95,15.3,8.1,233.0,4.7,234.6,26.01,3.31
West,Soybean,2022,936.8,23.5,67.8,7.24,134.9,39.2,201.6,33.1,150.4,11.07,1.79
East,Sugarcane,2017,1027.6,22.0,53.4,6.58,106.3,9.7,157.0,56.4,142.9,2.24,49.34
East,Cotton,2021,950.4,24.6,63.6,6.29,111.4,48.6,162.1,14.2,144.4,4.68,1.44
East,Maize,2015,1032.6,22.2,60.9,6.56,53.6,56.4,122.5,0.3,136.2,4.43,3.46
Central,Wheat,2017,870.1,24.2,55.3,6.67,137.3,24.7,135.7,7.9,247.6,0.82,2.17
South,Rice,2012,891.4,20.6,63.7,5.99,69.3,26.7,155.9,52.4,188.6,17.36,2.59
West,Rice,2019,1126.4,29.5,75.8,5.53,124.1,19.5,156.0,63.2,163.1,3.84,2.73
Central,Wheat,2019,1486.4,31.1,59.7,4.86,151.7,46.0,190.4,9.3,181.8,5.45,1.48
West,Sugarcane,2023,550.0,23.3,59.8,7.51,103.6,39.9,188.5,66.5,193.0,2.75,36.82
West,Rice,2010,874.0,17.1,76.0,6.9,162.6,40.8,170.8,61.7,135.2,1.32,2.64
South,Rice,2015,604.9,21.4,74.4,6.79,93.9,39.5,110.0,94.0,96.6,18.59,2.52
East,Wheat,2010,1298.0,23.1,83.8,7.51,141.0,30.4,111.5,84.1,260.3,0.5,2.56
South,Sugarcane,2018,753.1,26.5,33.7,5.5,74.3,62.0,114.5,94.3,239.3,4.08,52.07
Central,Sugarcane,2023,539.2,19.0,73.6,5.11,156.1,49.1,159.4,96.6,202.7,10.5,46.98
Central,Wheat,2011,1059.5,20.2,69.0,6.81,150.7,27.2,68.9,44.1,235.2,2.96,2.3
Central,Sugarcane,2020,1336.1,26.6,46.7,6.73,136.4,34.5,149.7,48.8,294.9,4.73,44.4
South,Sugarcane,2011,1065.9,28.7,63.8,5.11,106.2,31.9,206.3,28.2,147.9,6.65,39.69
West,Maize,2016,951.2,20.9,75.8,6.79,70.9,66.1,176.7,50.8,112.8,42.52,4.13
West,Maize,2011,1002.3,17.3,47.6,6.18,106.3,55.7,136.0,15.1,219.7,11.36,3.54
North,Wheat,2019,1253.7,40.4,66.6,5.85,158.9,43.1,122.1,67.1,92.0,27.32,1.35
Central,Soybean,2017,681.5,27.9,73.1,6.23,124.5,70.6,182.2,2.5,182.3,9.45,1.69
West,Rice,2015,872.0,22.7,43.9,4.55,65.6,66.8,162.2,23.6,162.1,2.51,2.55
North,Maize,2023,786.8,28.3,57.9,6.03,80.6,41.5,140.1,20.8,220.4,2.71,3.53
West,Rice,2016,608.0,23.4,64.5,5.94,163.9,38.8,126.4,93.8,151.1,13.83,2.81
Central,Cotton,2016,817.9,28.3,48.1,6.95,137.1,39.6,153.1,14.5,252.0,4.46,1.1
East,Wheat,2015,1176.9,24.8,46.8,6.37,76.8,30.7,137.9,89.1,135.2,3.7,2.44
Central,Soybean,2019,1041.7,24.5,58.0,7.01,58.2,71.0,181.4,12.4,222.3,23.22,1.98
South,Cotton,2020,1061.1,23.4,72.0,4.46,98.1,29.9,199.6,65.1,140.0,0.5,1.2
West,Cotton,2018,936.6,16.8,69.7,5.83,55.2,58.0,95.3,32.0,212.9,5.95,1.15
West,Sugarcane,2022,1030.8,33.7,47.1,6.94,114.5,55.4,101.0,31.6,119.1,11.94,40.67
South,Cotton,2018,699.9,19.3,69.8,6.25,205.8,40.4,203.9,99.8,178.6,10.66,1.24
South,Wheat,2024,822.6,17.2,47.5,7.18,64.1,72.2,156.6,22.6,259.3,3.67,2.2
East,Maize,2016,948.0,22.9,35.8,5.06,113.5,21.6,104.7,20.3,186.9,6.14,4.13
West,Wheat,2018,969.4,19.2,54.5,7.08,165.9,43.8,189.3,58.9,251.0,0.5,2.9
West,Maize,2022,980.0,23.7,76.8,5.99,146.2,37.7,163.7,74.1,178.4,6.12,5.17
East,Cotton,2019,865.4,27.4,69.8,5.91,114.8,59.4,238.1,98.3,149.7,7.14,1.36
North,Cotton,2012,805.6,29.0,60.0,7.29,114.9,50.3,140.6,70.1,190.3,16.62,1.21
East,Soybean,2012,1689.4,28.1,53.7,7.43,79.5,19.1,194.3,56.2,217.1,1.89,1.51
Central,Maize,2010,1126.7,22.5,54.2,7.33,110.6,63.6,92.0,40.9,65.7,13.95,3.39
West,Cotton,2014,1003.3,24.2,61.6,8.13,128.5,52.3,205.8,59.5,211.3,10.13,1.32
South,Sugarcane,2024,841.7,26.0,44.0,7.51,158.7,29.5,187.8,60.1,123.6,8.77,39.12
Central,Rice,2013,787.2,15.2,54.8,5.86,98.3,39.8,214.2,21.8,108.7,4.01,2.01
West,Soybean,2011,867.3,26.9,56.8,6.61,113.4,25.5,194.4,67.1,212.3,3.66,2.02
East,Wheat,2018,973.2,16.7,39.7,6.21,86.8,42.4,146.0,20.4,260.3,9.72,2.6
Central,Soybean,2012,429.9,34.2,47.4,8.12,127.9,47.3,103.2,49.0,193.0,37.02,1.31
West,Rice,2024,507.7,22.0,66.2,7.38,147.4,40.0,125.9,26.0,98.7,4.16,2.63
North,Maize,2017,740.8,23.1,60.1,6.35,142.0,38.2,79.6,31.3,139.8,20.07,3.91
North,Wheat,2015,951.8,20.2,55.4,7.2,79.0,20.8,113.2,61.4,154.9,7.07,2.1
South,Wheat,2023,840.2,20.9,46.3,5.51,125.1,50.1,167.0,6.4,191.8,16.21,1.94
West,Maize,2022,1269.5,35.4,83.7,6.7,96.3,16.1,148.1,1.2,175.7,1.96,3.03
North,Soybean,2014,529.4,28.7,47.4,5.75,155.4,45.5,141.1,13.1,209.7,11.49,1.7
East,Cotton,2010,712.2,16.3,63.8,5.15,114.4,18.0,118.3,16.9,240.0,14.41,1.08
West,Soybean,2013,1280.0,31.5,52.7,7.13,66.8,45.8,79.1,19.8,200.7,14.28,1.4
East,Rice,2012,932.8,30.0,60.5,7.23,112.3,44.9,157.3,77.4,233.9,12.29,3.02
East,Sugarcane,2010,1121.2,22.6,66.9,6.87,136.0,51.1,165.2,44.7,163.8,2.9,42.15
North,Cotton,2021,1412.8,25.5,39.4,6.35,128.5,57.9,110.3,47.0,377.8,5.9,1.56
West,Soybean,2024,726.5,23.9,59.9,5.49,102.1,60.7,128.7,64.4,213.2,2.85,1.76
Central,Sugarcane,2014,875.2,33.9,77.9,5.57,99.5,20.8,211.7,72.9,221.0,3.36,40.49
North,Sugarcane,2015,831.9,20.0,86.4,5.72,85.4,44.1,196.4,0.4,285.5,2.87,38.95
North,Maize,2011,411.4,24.7,58.0,6.31,106.2,75.2,90.6,85.7,185.3,2.68,4.08
West,Rice,2024,822.4,21.9,60.6,7.36,90.1,46.8,146.6,98.8,141.3,9.46,3.09
West,Rice,2023,1120.3,16.8,93.2,7.35,154.0,32.5,208.2,12.2,258.4,8.4,2.5
East,Rice,2012,1035.1,35.0,77.0,5.18,88.5,43.8,141.3,65.1,261.9,1.83,2.56
West,Cotton,2020,1054.8,18.1,50.7,5.95,124.3,39.2,139.2,0.2,189.2,9.41,1.12
East,Wheat,2023,806.1,25.1,50.7,5.92,121.9,27.4,193.7,4.9,285.6,2.75,2.39
North,Cotton,2024,736.0,15.3,74.3,4.47,153.1,58.0,189.5,28.5,175.0,1.8,0.8
South,Soybean,2015,1217.3,22.0,44.8,6.95,158.1,53.8,187.4,84.6,235.9,11.0,1.93
Central,Sugarcane,2013,775.7,26.1,76.3,6.3,144.4,25.0,139.5,65.3,270.9,3.61,61.0
North,Sugarcane,2018,973.5,19.9,65.0,6.41,132.4,43.6,176.5,44.6,185.9,6.74,39.62
West,Wheat,2014,940.8,26.9,67.8,7.58,83.3,36.5,209.8,43.9,207.4,1.79,2.33
Central,Soybean,2013,1265.4,22.7,56.1,6.57,82.6,21.0,148.0,46.6,241.6,7.61,2.14
South,Wheat,2011,1142.9,29.8,50.6,6.16,90.4,23.8,133.9,31.1,158.0,1.87,2.38
South,Sugarcane,2015,576.2,30.8,81.9,6.96,146.3,26.0,199.2,87.8,131.2,1.46,38.52
East,Cotton,2019,603.1,21.1,56.3,7.35,122.6,44.1,231.8,56.8,260.0,3.91,1.22
Central,Rice,2011,1044.7,24.4,53.8,6.74,150.4,38.1,234.6,48.4,198.4,12.49,3.07
East,Sugarcane,2021,883.9,24.9,58.8,7.05,155.1,30.6,135.0,46.5,149.7,1.55,47.69
North,Maize,2022,786.2,27.1,62.9,6.38,94.6,39.1,139.0,93.6,185.6,1.0,4.11
Central,Rice,2016,1153.9,24.1,44.5,6.43,121.1,56.2,108.8,72.4,210.5,0.5,3.12
North,Sugarcane,2012,946.9,25.0,51.5,6.59,119.5,50.4,154.7,14.5,85.8,4.3,40.89
East,Cotton,2018,913.1,22.8,50.7,5.9,108.5,60.0,107.0,43.7,223.0,2.65,1.3
Central,Wheat,2020,1095.0,24.6,72.7,6.05,101.3,41.6,128.9,28.8,204.5,2.76,2.25
East,Rice,2014,806.2,30.5,46.7,7.6,161.5,69.0,178.0,98.7,279.3,32.11,2.99
Central,Cotton,2017,1292.1,27.2,33.7,8.11,121.8,50.2,165.6,41.5,166.9,1.73,0.99
East,Soybean,2020,703.0,27.5,30.5,7.77,120.5,37.7,77.6,6.8,262.6,4.91,1.69
South,Maize,2015,1064.2,27.6,37.9,5.44,91.9,46.4,212.8,41.1,177.3,34.36,3.7
East,Rice,2023,1258.5,23.2,80.4,5.36,143.6,26.3,106.5,32.1,188.4,0.5,2.32
South,Wheat,2021,555.7,25.6,60.2,5.55,84.8,40.4,111.6,60.0,196.9,9.54,1.71
East,Soybean,2019,814.2,18.6,67.5,6.61,135.9,51.4,100.4,22.6,305.6,3.71,1.89
Central,Cotton,2017,1185.6,30.3,68.0,4.25,136.9,54.2,123.5,3.6,105.6,18.92,0.82
Central,Maize,2022,1189.3,10.1,60.8,6.03,105.6,38.8,114.1,9.6,209.7,19.44,3.25
Central,Wheat,2022,857.1,23.6,58.9,7.63,131.1,86.0,115.1,28.3,182.5,3.92,2.3
West,Cotton,2020,716.3,29.7,75.7,7.29,126.5,42.4,51.4,34.8,178.3,2.0,1.17
North,Cotton,2021,1139.0,17.2,62.2,6.09,118.6,19.8,155.2,83.4,215.0,4.47,1.47
Central,Rice,2012,1195.9,26.0,81.0,6.15,120.5,63.2,159.3,27.0,246.4,26.89,3.16
South,Rice,2012,608.8,20.6,69.3,6.95,122.2,54.1,239.8,3.1,211.9,2.64,2.89
Central,Wheat,2014,599.0,22.2,50.7,7.25,124.5,48.5,169.5,78.1,254.1,31.84,2.42
West,Sugarcane,2020,956.3,28.7,52.5,6.07,122.1,38.0,130.1,86.9,164.9,13.69,57.04
South,Sugarcane,2019,1057.3,25.0,49.1,6.31,81.4,50.9,102.0,49.2,177.1,2.49,49.01
West,Cotton,2012,825.2,13.8,78.3,6.05,114.7,69.3,146.1,28.5,119.9,12.53,0.95
South,Rice,2017,1069.8,19.1,53.9,5.43,129.3,48.0,167.9,77.2,299.0,0.5,3.13
East,Maize,2019,722.5,28.9,48.0,6.32,123.4,22.9,129.9,0.9,168.8,6.35,3.43
North,Maize,2022,371.3,26.2,64.8,6.26,153.4,5.0,152.4,92.4,162.2,3.54,3.5
North,Cotton,2021,794.0,32.7,58.5,5.49,141.7,50.8,225.9,86.6,216.4,4.45,1.23
West,Rice,2023,915.8,32.4,64.4,7.02,89.5,30.2,134.6,54.5,246.4,5.12,2.88
North,Wheat,2017,831.0,22.3,88.3,6.89,114.2,43.5,74.5,27.8,138.5,5.59,2.05
